nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Arunachal Pradesh,2,west kameng,ARUNACHAL PRADESH,612,12,121,1202
Arunachal Pradesh,6,west siang,ARUNACHAL PRADESH,637,12,121,1206
Assam,25,baksa,ASSAM,710,18,182,1825
Assam,4,barpeta,ASSAM,711,18,182,1804
Assam,20,bongaigaon,ASSAM,713,18,182,1820
Assam,17,cachar,ASSAM,714,18,183,1817
Assam,21,chirang,ASSAM,716,18,182,1821
Assam,26,darrang,ASSAM,717,18,184,1826
Assam,9,dhemaji,ASSAM,718,18,181,1809
Assam,2,dhubri,ASSAM,719,18,182,1802
Assam,11,dibrugarh,ASSAM,720,18,181,1811
Assam,16,dima hasao,ASSAM,721,18,183,1816
Assam,3,goalpara,ASSAM,722,18,182,1803
Assam,14,golaghat,ASSAM,723,18,181,1814
Assam,19,hailakandi,ASSAM,724,18,183,1819
Assam,13,jorhat,ASSAM,726,18,181,1813
Assam,23,kamrup metro,ASSAM,727,18,182,1823
Assam,22,kamrup rural,ASSAM,728,18,182,1822
Assam,15,karbi anglong,ASSAM,729,18,183,1815
Assam,18,karimganj,ASSAM,730,18,183,1818
Assam,1,kokrajhar,ASSAM,731,18,182,1801
Assam,8,lakhimpur,ASSAM,732,18,181,1808
Assam,5,morigaon,ASSAM,734,18,184,1805
Assam,6,nagaon,ASSAM,735,18,184,1806
Assam,24,nalbari,ASSAM,736,18,182,1824
Assam,12,sivasagar,ASSAM,737,18,181,1812
Assam,7,sonitpur,ASSAM,738,18,184,1807
Assam,10,tinsukia,ASSAM,740,18,181,1810
Assam,27,udalguri,ASSAM,741,18,184,1827
Bihar,7,araria,BIHAR,449,10,101,1007
Bihar,38,arwal,BIHAR,450,10,102,1038
Bihar,33,aurangabad,BIHAR,451,10,102,1033
Bihar,23,banka,BIHAR,453,10,102,1023
